lemma,article,topic,translation,example
Abneigung,die,abstract,aversion,
Andeutung,die,abstract,allusion,
Anliegen,das,abstract,concern,
Auseinandersetzung,die,abstract,confrontation,
Befürchtung,die,abstract,apprehension,
Behauptung,die,abstract,assertion,
Beschaffenheit,die,abstract,quality,
Besonnenheit,die,abstract,prudence,
Bestreben,das,abstract,endeavour,
Bewährung,die,society,probation,
Diskrepanz,die,abstract,discrepancy,
Eigenart,die,abstract,peculiarity,
Engpass,der,economy,bottleneck,
Entfaltung,die,abstract,unfolding,
Erörterung,die,abstract,deliberation,
Errungenschaft,die,abstract,achievement,
Gelassenheit,die,abstract,composure,
Gepflogenheit,die,abstract,custom,
Geringschätzung,die,abstract,disdain,
Gesinnung,die,abstract,mindset,
Gleichgewicht,das,abstract,equilibrium,
Gleichgültigkeit,die,abstract,indifference,
Großzügigkeit,die,abstract,generosity,
Hartnäckigkeit,die,abstract,persistence,
Hingabe,die,abstract,devotion,
Inbegriff,der,abstract,epitome,
Komplexität,die,abstract,complexity,
Kompromiss,der,abstract,compromise,
Misstrauen,das,abstract,distrust,
Nachdruck,der,abstract,emphasis,
Nachhaltigkeit,die,nature,sustainability,
Nuance,die,abstract,nuance,
Obhut,die,abstract,custody,
Offenheit,die,abstract,openness,
Rücksicht,die,abstract,consideration,
Scharfsinn,der,abstract,acumen,
Selbstverständlichkeit,die,abstract,matter of course,
Skepsis,die,abstract,scepticism,
Tragweite,die,abstract,scope,
Tugend,die,abstract,virtue,
Überforderung,die,abstract,excessive demand,
Übereinstimmung,die,abstract,accord,
Umsicht,die,abstract,circumspection,
Unbehagen,das,abstract,unease,
Unmut,der,abstract,displeasure,
Unsicherheit,die,abstract,uncertainty,
Verfügung,die,abstract,decree,
Vergänglichkeit,die,abstract,transience,
Verschwiegenheit,die,abstract,discretion,
Voreingenommenheit,die,abstract,bias,
Vorbehalt,der,abstract,reservation,
Wehmut,die,abstract,melancholy,
Willkür,die,abstract,arbitrariness,
Zurückhaltung,die,abstract,restraint,
Zuversicht,die,abstract,confidence,
Zwang,der,abstract,compulsion,
Zwiespalt,der,abstract,inner conflict,
Amtszeit,die,society,term of office,
Aufsicht,die,society,supervision,
Befugnis,die,society,authority,
Beschluss,der,society,resolution,
Bestimmung,die,society,provision,
Einwand,der,abstract,objection,
Ermessen,das,society,discretion,
Gesetzgebung,die,society,legislation,
Gleichberechtigung,die,society,equal rights,
Inflation,die,economy,inflation,
Rezession,die,economy,recession,
Konjunktur,die,economy,economic cycle,
Liquidität,die,economy,liquidity,
Rendite,die,economy,yield,
Spekulation,die,economy,speculation,
Verschuldung,die,economy,indebtedness,
Zuständigkeit,die,society,jurisdiction,
Zustimmung,die,society,approval,
Vorwurf,der,abstract,reproach,
Nachsicht,die,abstract,leniency,
Sorgfalt,die,abstract,diligence,
Abstraktion,die,academic,abstraction,
Hypothese,die,academic,hypothesis,
Korrelation,die,academic,correlation,
Verallgemeinerung,die,academic,generalisation,
Wechselwirkung,die,academic,interaction,
Zwischenfall,der,society,incident,
Tragfähigkeit,die,abstract,viability,
Einsicht,die,abstract,insight,
Beharrlichkeit,die,abstract,tenacity,
Aufrichtigkeit,die,abstract,sincerity,
Bescheidenheit,die,abstract,modesty,
Entschlossenheit,die,abstract,determination,
Gewissenhaftigkeit,die,abstract,conscientiousness,
Vorsicht,die,abstract,caution,
Ehrgeiz,der,abstract,ambition,
Eifer,der,abstract,zeal,
Groll,der,abstract,resentment,
Argwohn,der,abstract,suspicion,
Tatkraft,die,abstract,drive,
Würde,die,abstract,dignity,
Demut,die,abstract,humility,
Beklommenheit,die,abstract,anxiety,
Verzweiflung,die,abstract,despair,
Ernüchterung,die,abstract,disillusionment,
Befangenheit,die,abstract,self-consciousness,
Gewissheit,die,abstract,certainty,
Ungewissheit,die,abstract,uncertainty,
Zweckmäßigkeit,die,abstract,expediency,
Notwendigkeit,die,abstract,necessity,
Beliebigkeit,die,abstract,arbitrariness,
Vielfalt,die,abstract,diversity,
Eintönigkeit,die,abstract,monotony,
Beständigkeit,die,abstract,constancy,
Vergeltung,die,abstract,retaliation,
Nachsorge,die,body,aftercare,
Vorsorge,die,body,precaution,
Genesung,die,body,recovery,
Erschöpfung,die,body,exhaustion,
Belastung,die,abstract,strain,
Entlastung,die,abstract,relief,
Bewältigung,die,abstract,coping,
Verdrängung,die,abstract,repression,
Entrüstung,die,abstract,indignation,
Empörung,die,abstract,outrage,
Gewissensbiss,der,abstract,pang of conscience,
Zuneigung,die,abstract,affection,
