lemma,article,topic,translation,example
Annahme,die,abstract,assumption,
Auffassung,die,abstract,conception,
Anspruch,der,abstract,claim,
Aufwand,der,abstract,effort,
Ausdruck,der,abstract,expression,
Auswirkung,die,abstract,impact,
Begriff,der,abstract,concept,
Bereich,der,abstract,field,
Beweis,der,abstract,proof,
Beitrag,der,abstract,contribution,
Beobachtung,die,abstract,observation,
Bemühung,die,abstract,endeavour,
Bewusstsein,das,abstract,consciousness,
Darstellung,die,abstract,representation,
Einfluss,der,abstract,influence,
Einsatz,der,abstract,deployment,
Einstellung,die,abstract,attitude,
Entwicklung,die,abstract,development,
Erkenntnis,die,abstract,insight,
Erklärung,die,abstract,explanation,
Erscheinung,die,abstract,phenomenon,
Erwartung,die,abstract,expectation,
Forderung,die,abstract,demand,
Forschung,die,academic,research,
Gedanke,der,abstract,thought,
Gegensatz,der,abstract,contrast,
Grundlage,die,abstract,basis,
Haltung,die,abstract,stance,
Herausforderung,die,abstract,challenge,
Hinsicht,die,abstract,respect,
Hinweis,der,abstract,indication,
Maßnahme,die,abstract,measure,
Merkmal,das,abstract,characteristic,
Methode,die,academic,method,
Nachfrage,die,economy,demand,
Neigung,die,abstract,inclination,
Perspektive,die,abstract,perspective,
Phänomen,das,abstract,phenomenon,
Prinzip,das,abstract,principle,
Prozess,der,abstract,process,
Rahmen,der,abstract,framework,
Schwierigkeit,die,abstract,difficulty,
Standpunkt,der,abstract,standpoint,
Tatsache,die,abstract,fact,
Theorie,die,academic,theory,
These,die,academic,thesis,
Überzeugung,die,abstract,conviction,
Umstand,der,abstract,circumstance,
Ursprung,der,abstract,origin,
Veränderung,die,abstract,change,
Verbindung,die,abstract,connection,
Verfahren,das,abstract,procedure,
Vergleich,der,abstract,comparison,
Verhältnis,das,abstract,ratio,
Vermutung,die,abstract,supposition,
Voraussetzung,die,abstract,prerequisite,
Vorgang,der,abstract,process,
Wahrnehmung,die,abstract,perception,
Widerspruch,der,abstract,contradiction,
Zusammenarbeit,die,work,cooperation,
Zustand,der,abstract,condition,
Zweifel,der,abstract,doubt,
Anteil,der,economy,share,
Ausgabe,die,economy,expenditure,
Einnahme,die,economy,revenue,
Gewinn,der,economy,profit,
Verlust,der,economy,loss,
Schuld,die,abstract,guilt,
Haushalt,der,economy,household budget,
Kapital,das,economy,capital,
Konkurrenz,die,economy,competition,
Krise,die,economy,crisis,
Produktion,die,economy,production,
Rohstoff,der,economy,raw material,
Umsatz,der,economy,turnover,
Versicherung,die,economy,insurance,
Vermögen,das,economy,assets,
Wachstum,das,economy,growth,
Investition,die,economy,investment,
Behörde,die,society,authority,
Verwaltung,die,society,administration,
Verfassung,die,society,constitution,
Urteil,das,society,verdict,
Gericht,das,society,court,
Verbrechen,das,society,crime,
Verdacht,der,society,suspicion,
Strafe,die,society,punishment,
Zeuge,der,society,witness,
Abkommen,das,society,agreement,
Demokratie,die,society,democracy,
Partei,die,society,party,
Pflicht,die,abstract,duty,
Verhandlung,die,society,negotiation,
Bündnis,das,society,alliance,
Reform,die,society,reform,
Wissenschaft,die,academic,science,
Bildung,die,academic,education,
Kenntnis,die,academic,knowledge,
Studie,die,academic,study,
Quelle,die,academic,source,
Begründung,die,academic,justification,
Zusammenfassung,die,academic,summary,
Übersicht,die,academic,overview,
Disziplin,die,academic,discipline,
Stimmung,die,abstract,mood,
Geduld,die,abstract,patience,
Mut,der,abstract,courage,
Stolz,der,abstract,pride,
Neid,der,abstract,envy,
Wut,die,abstract,anger,
Trauer,die,abstract,grief,
Freude,die,abstract,joy,
Sorge,die,abstract,worry,
Zufriedenheit,die,abstract,satisfaction,
Enttäuschung,die,abstract,disappointment,
Eindruck,der,abstract,impression,
Sehnsucht,die,abstract,longing,
Maßstab,der,abstract,benchmark,
Schlussfolgerung,die,academic,conclusion,
Gesichtspunkt,der,abstract,point of view,
Sichtweise,die,abstract,viewpoint,
Aufschwung,der,economy,upturn,
