lemma,article,topic,translation,example
Mensch,der,people,human being,Der Mensch lernt sein Leben lang.
Person,die,people,person,
Nachbar,der,people,neighbour,
Gast,der,people,guest,
Partner,der,people,partner,
Paar,das,people,couple,
Ehemann,der,family,husband,
Ehefrau,die,family,wife,
Großvater,der,family,grandfather,
Großmutter,die,family,grandmother,
Enkel,der,family,grandchild,
Onkel,der,family,uncle,
Tante,die,family,aunt,
Baby,das,family,baby,
Kollege,der,work,colleague,
Chef,der,work,boss,
Wand,die,home,wall,
Boden,der,home,floor,
Treppe,die,home,staircase,
Keller,der,home,cellar,
Dach,das,home,roof,
Balkon,der,home,balcony,
Sofa,das,home,sofa,
Teppich,der,home,carpet,
Spiegel,der,home,mirror,
Regal,das,home,shelf,
Kissen,das,home,pillow,
Waschmaschine,die,home,washing machine,
Kühlschrank,der,home,fridge,
Heizung,die,home,heating,
Schlüssel,der,home,key,
Garage,die,home,garage,
Frühstück,das,food,breakfast,
Mittagessen,das,food,lunch,
Abendessen,das,food,dinner,
Mahlzeit,die,food,meal,
Reis,der,food,rice,
Nudel,die,food,noodle,
Kartoffel,die,food,potato,
Tomate,die,food,tomato,
Zwiebel,die,food,onion,
Salat,der,food,salad,
Wurst,die,food,sausage,
Schinken,der,food,ham,
Marmelade,die,food,jam,
Honig,der,food,honey,
Mehl,das,food,flour,
Pfeffer,der,food,pepper,
Schokolade,die,food,chocolate,
Eis,das,food,ice cream,
Flasche,die,food,bottle,
Glas,das,food,glass,
Teller,der,food,plate,
Tasse,die,food,cup,
Löffel,der,food,spoon,
Gabel,die,food,fork,
Messer,das,food,knife,
Getränk,das,food,beverage,
Dorf,das,places,village,
Land,das,places,country,
Platz,der,places,square,
Brücke,die,places,bridge,
Ecke,die,places,corner,
Apotheke,die,places,pharmacy,
Bäckerei,die,places,bakery,
Bibliothek,die,places,library,
Museum,das,places,museum,
Theater,das,places,theatre,
Schwimmbad,das,places,swimming pool,
Post,die,places,post office,
Rathaus,das,places,town hall,
Tankstelle,die,transport,petrol station,
Parkplatz,der,transport,car park,
Gebäude,das,places,building,
Wald,der,nature,forest,
Feld,das,nature,field,
Insel,die,nature,island,
Fluss,der,nature,river,
Reise,die,transport,journey,
Fahrt,die,transport,ride,
Ticket,das,transport,ticket,
Fahrkarte,die,transport,travel ticket,
Koffer,der,transport,suitcase,
Tasche,die,misc,bag,
Rucksack,der,transport,backpack,
Führerschein,der,transport,driving licence,
Ausweis,der,misc,identity card,
Pass,der,transport,passport,
Unfall,der,transport,accident,
Schiff,das,transport,ship,
Termin,der,time,appointment,
Datum,das,time,date,
Geburtstag,der,time,birthday,
Wochenende,das,time,weekend,
Mittag,der,time,noon,
Sekunde,die,time,second,
Zukunft,die,time,future,
Augenblick,der,time,moment,
Frühling,der,time,spring,
Sommer,der,time,summer,
Herbst,der,time,autumn,
Winter,der,time,winter,
Erde,die,nature,earth,
Mond,der,nature,moon,
Stern,der,nature,star,
Wolke,die,nature,cloud,
Sturm,der,nature,storm,
Luft,die,nature,air,
Feuer,das,nature,fire,
Stein,der,nature,stone,
Blatt,das,nature,leaf,
Tier,das,animals,animal,
Vogel,der,animals,bird,
Pferd,das,animals,horse,
Kuh,die,animals,cow,
Maus,die,animals,mouse,
Körper,der,body,body,
Gesicht,das,body,face,
Haar,das,body,hair,
Zahn,der,body,tooth,
Hals,der,body,neck,
Rücken,der,body,back,
Herz,das,body,heart,
Finger,der,body,finger,
Haut,die,body,skin,
Blut,das,body,blood,
Gesundheit,die,body,health,
Krankheit,die,body,illness,
Schmerz,der,body,pain,
Fieber,das,body,fever,
Arzt,der,work,doctor,
Medikament,das,body,medication,
Tablette,die,body,pill,
Schüler,der,work,pupil,
Lehrer,der,work,teacher,
Student,der,work,student,
Prüfung,die,work,exam,
Note,die,work,grade,
Klasse,die,work,class,
Aufgabe,die,work,task,
Übung,die,work,exercise,
Heft,das,work,notebook,
Papier,das,work,paper,
Kurs,der,work,course,
Thema,das,work,topic,
Text,der,work,text,
Satz,der,work,sentence,
Geschichte,die,work,story,
Nummer,die,misc,number,
Adresse,die,misc,address,
Nachricht,die,misc,message,
Sache,die,misc,thing,
Ding,das,misc,object,
Idee,die,misc,idea,
Plan,der,misc,plan,
Grund,der,misc,reason,
Beispiel,das,misc,example,
Hilfe,die,misc,help,
Gruppe,die,misc,group,
Preis,der,shopping,price,
Rechnung,die,shopping,bill,
Kasse,die,shopping,checkout,
Kleid,das,clothes,dress,
Hose,die,clothes,trousers,
Hemd,das,clothes,shirt,
Jacke,die,clothes,jacket,
Mantel,der,clothes,coat,
Schuh,der,clothes,shoe,
Pullover,der,clothes,sweater,
Rock,der,clothes,skirt,
Hut,der,clothes,hat,
Brille,die,clothes,glasses,
